Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR11772244_1	47	0	5195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	5	4	21	54	127	284	545	898	1354	2099	2853	3878	5362	7372	11121	20480	76168	246729
SRR11772244_2	47	0	5115	0	0	0	0	0	0	0	0	0	0	0	0	6	9	41	90	112	236	566	1080	1593	2192	2778	3314	3933	4482	4859	5667	6311	7091	8549	10715	15256	26027	86711	187819
